symbol,side,entry_date,entry_px,exit_date,exit_px,qty,pnl,exit_reason,days_held
TVSMOTOR,S,2018-04-03,658.0,2018-04-04,654.0,37,148.0,EMA13,1
TATAMOTORS,S,2018-04-03,338.4,2018-04-04,346.8,73,-613.2,EMA13,1
ACC,S,2018-04-03,1534.0,2018-04-04,1554.0,16,-320.0,EMA13,1
BHEL,S,2018-04-04,85.65,2018-04-05,86.5,291,-247.35,EMA13,1
HINDALCO,S,2018-04-04,208.0,2018-04-06,210.05,120,-246.0,EMA13,2
PETRONET,S,2018-04-04,232.8,2018-04-06,233.0,107,-21.4,EMA13,2
ADANIPORTS,S,2018-04-05,372.0,2018-04-06,378.45,67,-432.15,EMA13,1
TATASTEEL,S,2018-04-06,57.49,2018-04-09,58.95,434,-633.64,EMA13,3
HINDALCO,S,2018-04-06,210.05,2018-04-09,214.65,119,-547.4,EMA13,3
DIXON,S,2018-04-09,713.6,2018-04-10,733.8,35,-707.0,EMA13,1
VEDL,S,2018-04-06,286.0,2018-04-12,296.0,87,-870.0,EMA13,6
BAJAJ-AUTO,S,2018-04-03,2790.0,2018-04-17,2845.0,8,-440.0,EMA13,14
BHARTIARTL,S,2018-04-09,345.09,2018-04-20,354.69,72,-691.18,EMA13,11
ICICIPRULI,L,2018-05-07,441.0,2018-05-17,435.1,56,-330.4,EMA13,10
UNIONBANK,S,2018-05-22,86.1,2018-05-23,87.15,290,-304.5,EMA13,1
PNB,S,2018-05-22,78.05,2018-05-28,83.7,320,-1808.0,EMA13,6
TORNTPHARM,S,2018-05-22,662.55,2018-05-29,688.5,37,-960.15,EMA13,7
RECLTD,S,2018-05-23,81.68,2018-05-29,88.12,306,-1972.17,EMA13,6
BEL,S,2018-05-23,38.95,2018-05-29,41.17,494,-1095.03,EMA13,6
JUBLFOOD,L,2018-05-30,262.1,2018-05-31,256.0,95,-579.5,EMA13,1
NTPC,S,2018-06-29,129.46,2018-07-02,132.5,193,-586.72,EMA13,3
IDEA,S,2018-06-29,34.97,2018-07-02,35.51,354,-192.89,EMA13,3
BALKRISIND,S,2018-07-03,1066.25,2018-07-04,1082.6,10,-163.5,EMA13,1
BEL,S,2018-06-29,34.88,2018-07-09,37.23,716,-1684.99,EMA13,10
JUBLFOOD,L,2018-07-04,287.0,2018-07-09,275.79,40,-448.4,EMA13,5
ONGC,S,2018-06-29,155.15,2018-07-13,159.05,161,-627.9,EMA13,14
NTPC,S,2018-07-03,128.33,2018-07-13,128.5,194,-32.98,EMA13,10
ASIANPAINT,L,2018-07-17,1365.4,2018-08-06,1420.0,18,982.8,EMA13,20
BERGEPAINT,L,2018-07-17,251.46,2018-08-07,259.92,99,837.21,EMA13,21
COALINDIA,L,2018-08-14,280.0,2018-08-31,286.25,89,556.25,EMA13,17
BAJFINANCE,L,2018-08-09,282.4,2018-09-03,288.0,88,492.8,EMA13,25
TORNTPHARM,L,2018-08-20,888.5,2018-09-05,880.0,28,-238.0,EMA13,16
TECHM,L,2018-08-31,734.0,2018-09-14,739.9,34,200.6,EMA13,14
HINDPETRO,S,2018-09-12,161.97,2018-09-17,166.73,154,-733.55,EMA13,5
TITAN,S,2018-09-24,801.8,2018-10-09,818.95,31,-531.65,EMA13,15
UNIONBANK,S,2018-09-21,79.0,2018-10-11,68.15,316,3428.6,EMA13,20
KOTAKBANK,S,2018-10-09,221.2,2018-10-11,220.0,110,132.0,EMA13,2
MCDOWELL-N,S,2018-10-11,460.0,2018-10-12,529.0,54,-3726.0,SL,1
LTF,S,2018-10-11,118.12,2018-10-15,124.54,211,-1355.1,EMA13,4
MCDOWELL-N,S,2018-10-12,502.4,2018-10-15,526.0,48,-1132.8,EMA13,3
APLAPOLLO,S,2018-09-24,149.1,2018-10-17,139.9,78,717.6,EMA13,23
FEDERALBNK,S,2018-10-17,83.0,2018-10-19,77.85,227,1169.05,EMA13,2
OBEROIRLTY,S,2018-10-19,376.95,2018-10-24,433.49,53,-2996.75,SL,5
M&M,S,2018-10-15,775.0,2018-11-01,770.5,32,144.0,EMA13,17
GRASIM,S,2018-10-24,831.69,2018-11-02,853.51,20,-436.33,EMA13,9
MARUTI,S,2018-09-24,8070.0,2018-11-05,7138.0,3,2796.0,EMA13,42
SHREECEM,S,2018-10-15,15352.0,2018-11-05,14730.0,1,622.0,EMA13,21
INDUSINDBK,S,2018-11-01,1402.0,2018-11-05,1535.0,17,-2261.0,EMA13,4
YESBANK,S,2018-11-02,212.75,2018-11-05,209.0,83,311.25,EMA13,3
MARUTI,S,2018-11-05,7138.0,2018-11-06,7195.0,3,-171.0,EMA13,1
ICICIPRULI,S,2018-11-05,353.0,2018-11-06,359.7,70,-469.0,EMA13,1
IDEA,S,2018-11-06,25.29,2018-11-07,25.81,988,-510.87,EMA13,1
GRASIM,S,2018-11-16,812.77,2018-11-20,844.34,30,-947.18,EMA13,4
DIVISLAB,L,2018-11-19,1565.0,2018-11-27,1513.95,15,-765.75,EMA13,8
MPHASIS,S,2018-11-22,912.0,2018-11-29,950.0,8,-304.0,EMA13,7
VEDL,S,2018-11-21,204.0,2018-12-04,202.4,122,195.2,EMA13,13
NESTLEIND,L,2018-11-29,538.85,2018-12-06,522.41,13,-213.72,EMA13,7
SRF,L,2018-11-20,418.6,2018-12-07,422.0,59,200.6,EMA13,17
YESBANK,S,2018-11-27,193.0,2018-12-12,182.0,118,1298.0,EMA13,15
VEDL,S,2018-12-07,197.95,2018-12-13,201.0,126,-384.3,EMA13,6
NTPC,S,2018-12-12,114.96,2018-12-17,125.0,209,-2098.36,EMA13,5
TATASTEEL,S,2018-12-07,51.07,2018-12-18,52.3,135,-166.05,EMA13,11
SAIL,S,2018-12-07,52.9,2018-12-20,54.15,472,-590.0,EMA13,13
SRF,L,2018-12-17,438.01,2018-12-24,430.76,56,-406.0,EMA13,7
BRITANNIA,L,2018-12-14,3139.7,2018-12-26,3086.4,7,-373.1,EMA13,12
SRF,L,2018-12-24,430.76,2018-12-26,393.79,58,-2144.26,EMA13,2
TORNTPHARM,L,2018-12-24,887.8,2018-12-27,884.95,28,-79.8,EMA13,3
CIPLA,S,2019-01-04,513.0,2019-01-16,515.0,48,-96.0,EMA13,12
NESTLEIND,L,2019-01-09,554.99,2019-01-17,560.0,45,225.45,EMA13,8
APOLLOHOSP,L,2019-01-22,1316.1,2019-01-23,1296.9,18,-345.6,EMA13,1
APOLLOHOSP,L,2019-01-23,1296.9,2019-01-24,1310.0,19,248.9,EMA13,1
TORNTPHARM,L,2019-01-16,949.2,2019-01-28,934.0,26,-395.2,EMA13,12
CIPLA,S,2019-01-30,504.95,2019-02-01,517.65,49,-622.3,EMA13,2
JINDALSTEL,S,2019-01-29,132.3,2019-02-08,134.95,188,-498.2,EMA13,10
NESTLEIND,L,2019-01-25,573.0,2019-02-11,565.0,43,-344.0,EMA13,17
NESTLEIND,L,2019-02-11,565.0,2019-02-12,541.75,44,-1023.0,EMA13,1
NESTLEIND,L,2019-02-12,541.75,2019-02-14,527.05,42,-617.4,EMA13,2
INFY,L,2019-02-01,751.35,2019-02-15,742.3,32,-289.6,EMA13,14
NTPC,S,2019-02-15,110.0,2019-02-18,113.17,227,-718.83,EMA13,3
DIVISLAB,L,2019-02-12,1638.0,2019-02-19,1570.05,15,-1019.25,EMA13,7
GMRAIRPORT,S,2019-02-18,13.33,2019-02-20,14.1,1,-0.77,EMA13,2
INDIANB,S,2019-02-15,232.0,2019-02-21,223.2,91,800.8,EMA13,6
GMRAIRPORT,S,2019-02-20,14.1,2019-02-21,14.1,26,0.01,EMA13,1
HDFCAMC,S,2019-02-21,669.0,2019-02-22,676.5,33,-247.5,EMA13,1
VEDL,S,2019-02-21,161.7,2019-02-22,164.45,1,-2.75,EMA13,1
HDFCAMC,S,2019-02-22,676.5,2019-02-25,674.47,32,64.8,EMA13,3
M&M,S,2019-02-19,627.0,2019-02-26,644.8,37,-658.6,EMA13,7
TATACONSUM,S,2019-02-22,190.0,2019-02-26,189.75,2,0.5,EMA13,4
CUMMINSIND,S,2019-02-25,698.0,2019-02-27,729.0,31,-961.0,EMA13,2
CANBK,S,2019-02-18,43.3,2019-02-28,46.02,565,-1536.8,EMA13,10
LUPIN,S,2019-03-01,771.2,2019-03-05,791.55,32,-651.2,EMA13,4
BANKBARODA,S,2019-03-01,102.0,2019-03-05,108.5,245,-1592.5,EMA13,4
HEROMOTOCO,S,2019-03-01,2649.9,2019-03-06,2795.0,6,-870.6,EMA13,5
TECHM,L,2019-03-06,812.0,2019-03-08,810.2,30,-54.0,EMA13,2
ICICIGI,L,2019-03-07,977.0,2019-03-15,937.4,25,-990.0,EMA13,8
DIVISLAB,L,2019-03-13,1700.0,2019-03-25,1659.8,8,-321.6,EMA13,12
SRF,L,2019-03-15,473.99,2019-04-02,470.04,50,-197.5,EMA13,18
INDIGO,L,2019-03-25,1440.0,2019-04-04,1380.0,9,-540.0,EMA13,10
TORNTPHARM,L,2019-04-05,952.5,2019-04-08,920.0,13,-422.5,EMA13,3
TORNTPHARM,L,2019-04-08,920.0,2019-04-09,897.5,13,-292.5,EMA13,1
PIDILITIND,L,2019-04-16,650.0,2019-04-22,625.0,18,-450.0,EMA13,6
RELIANCE,L,2019-04-22,621.75,2019-04-23,616.26,18,-98.82,EMA13,1
ATGL,L,2019-03-12,118.45,2019-05-02,132.0,211,2859.05,EMA13,51
CHOLAFIN,L,2019-05-03,268.88,2019-05-06,260.69,92,-753.48,EMA13,3
RELIANCE,L,2019-04-26,628.6,2019-05-08,612.6,1,-16.0,EMA13,12
BAJAJFINSV,L,2019-04-02,719.74,2019-05-09,730.5,33,355.08,EMA13,37
HAVELLS,L,2019-05-08,739.75,2019-05-09,727.55,33,-402.6,EMA13,1
INDIGO,L,2019-04-23,1500.0,2019-05-17,1450.0,7,-350.0,EMA13,24
VEDL,S,2019-05-09,159.0,2019-05-17,163.15,157,-651.55,EMA13,8
LTF,S,2019-05-13,112.08,2019-05-21,118.12,16,-96.71,EMA13,8
COLPAL,S,2019-05-17,1120.0,2019-05-21,1165.15,8,-361.2,EMA13,4
YESBANK,S,2019-05-13,164.9,2019-05-29,154.0,151,1645.9,EMA13,16
ZYDUSLIFE,S,2019-05-17,257.7,2019-05-30,264.85,97,-693.55,EMA13,13
LTTS,L,2019-05-29,1765.0,2019-06-04,1699.0,2,-132.0,EMA13,6
INDIGO,L,2019-05-29,1667.8,2019-06-17,1640.0,14,-389.2,EMA13,19
BAJAJFINSV,L,2019-05-24,801.3,2019-06-18,814.4,13,170.3,EMA13,25
BAJFINANCE,L,2019-06-03,346.0,2019-06-18,347.4,70,98.0,EMA13,15
UPL,L,2019-06-20,627.03,2019-06-21,584.0,39,-1678.17,EMA13,1
SBILIFE,L,2019-06-07,698.9,2019-06-26,695.5,5,-17.0,EMA13,19
APOLLOHOSP,L,2019-06-21,1373.0,2019-06-26,1320.0,18,-954.0,EMA13,5
SRF,L,2019-06-20,597.8,2019-07-08,596.41,41,-56.99,EMA13,18
BAJAJFINSV,L,2019-06-28,844.39,2019-07-09,759.0,3,-256.17,EMA13,11
NESTLEIND,L,2019-06-24,580.0,2019-07-10,585.75,12,69.0,EMA13,16
HDFCLIFE,L,2019-07-08,463.7,2019-07-10,458.0,53,-302.1,EMA13,2
SUNPHARMA,S,2019-07-10,386.0,2019-07-11,394.9,17,-151.3,EMA13,1
OFSS,S,2019-07-11,3160.0,2019-07-12,3270.0,2,-220.0,EMA13,1
JINDALSTEL,S,2019-07-12,133.8,2019-07-16,141.0,46,-331.2,EMA13,4
